Date,Headline,Positive,Negative,Neutral
2010-01-07,Warner seals DVD deal with Netflix,0.6599356532096863,0.015979507938027382,0.3240847885608673
2010-01-28,Netflix shares leap 10%,0.4939289093017578,0.027924001216888428,0.47814711928367615
2010-05-05,Seagate media player gets flexible with Netflix,0.7595464587211609,0.011273887939751148,0.2291797250509262
2010-08-10,Netflix in streaming deal with pay-TV,0.19158200919628143,0.011374150402843952,0.7970439195632935
2010-12-09,Netflix challenge to traditional TV,0.1256662756204605,0.02492579072713852,0.8494079113006592
2011-01-28,Netflix on a roll as streaming catches on,0.18441241979599,0.17171093821525574,0.6438766717910767
2011-02-02,Amazon preparing Netflix rival,0.02743867225944996,0.022264210507273674,0.9502971172332764
2011-03-16,Netflix in talks over political drama,0.06335264444351196,0.4736228883266449,0.46302440762519836
2011-03-16,Further reading: LivingSocial in funding talks and Netflix plans original content,0.10077060759067535,0.014309536665678024,0.8849198222160339
2011-03-25,Showtime and Starz alter Netflix deals,0.021873939782381058,0.06855174899101257,0.9095742702484131
2011-04-26,New subscribers help Netflix to double profits,0.9396553635597229,0.012190732173621655,0.048153817653656006
2011-05-09,Netflix pushes into Latin America,0.3030226230621338,0.012639027088880539,0.6843383312225342
2011-05-18,Further reading: Netflix leads US internet traffic and LinkedIn raises IPO target,0.48099106550216675,0.022892119362950325,0.49611687660217285
2011-07-05,Netflix sets Latin American expansion,0.05503558740019798,0.019404301419854164,0.9255601763725281
2011-07-13,Netflix’s plot-twist in movie rentals,0.04214579612016678,0.04980234429240227,0.9080519080162048
2011-07-25,Netflix falls on subscription warning,0.010560794733464718,0.945555567741394,0.04388366639614105
2011-07-26,Netflix drops 10 per cent on price rise warning,0.018836218863725662,0.9508525133132935,0.030311299487948418
2011-07-27,Netflix shares continue fall on Walmart news,0.007960809394717216,0.9692538380622864,0.0227853674441576
2011-07-28,Correction: Netflix,0.028628218919038773,0.2060195654630661,0.7653522491455078
2011-09-01,Setback for Netflix as Starz ends talks,0.0275453832000494,0.952101469039917,0.020353136584162712
2011-09-05,Netflix to test Brazilian broadband,0.2147476077079773,0.009236548095941544,0.7760157585144043
2011-09-15,Subscriber cancellations strike Netflix,0.00870000571012497,0.9533333778381348,0.037966709583997726
2011-09-15,"Netflix: valuation, not pricing, that's dubious",0.04449870437383652,0.025079159066081047,0.9304221272468567
2011-09-19,Netflix splits DVD and streaming businesses,0.028061214834451675,0.02111162059009075,0.9508271813392639
2011-09-19,Netflix to split DVD and web services,0.05621581897139549,0.01125385332852602,0.9325302839279175
2011-09-19,Netflix to split movie and DVD business,0.026643775403499603,0.027889203280210495,0.9454670548439026
